"venue","year","identifier","heading","title","authors","page_range","length","electronic_edition","comment","status","is_full_paper"
"ICSE",2016,"conf/icse/icse2016","Synthesis","Program synthesis using natural language.","Aditya Desai; Sumit Gulwani; Vineet Hingorani; Nidhi Jain; Amey Karkare; Mark Marron; Sailesh R; Subhajit Roy","345-356",12,"https://doi.org/10.1145/2884781.2884786",,,TRUE
"ICSE",2016,"conf/icse/icse2016","Compilers and emerging trends","Finding and analyzing compiler warning defects.","Chengnian Sun; Vu Le; Zhendong Su","203-213",11,"https://doi.org/10.1145/2884781.2884879",,,TRUE
"ICSE",2016,"conf/icse/icse2016","Energy and videos","Automated energy optimization of HTTP requests for mobile applications.","Ding Li; Yingjun Lyu; Jiaping Gui; William G. J. Halfond","249-260",12,"https://doi.org/10.1145/2884781.2884867",,,TRUE
"ICSE",2016,"conf/icse/icse2016","Performance","Generating performance distributions via probabilistic symbolic execution.","Bihuan Chen; Yang Liu; Wei Le","49-60",12,"https://doi.org/10.1145/2884781.2884794",,,TRUE
"ICSE",2016,"conf/icse/icse2016","Debugging","Revisit of automatic debugging via human focus-tracking analysis.","Xiaoyuan Xie; Zicong Liu; Shuo Song; Zhenyu Chen; Jifeng Xuan; Baowen Xu","808-819",12,"https://doi.org/10.1145/2884781.2884834",,,TRUE
"ICSE",2017,"conf/icse/icse2017","Research track:
Recommendation systems","Supporting software developers with a holistic recommender system.","Luca Ponzanelli; Simone Scalabrino; Gabriele Bavota; Andrea Mocci; Rocco Oliveto; Massimiliano Di Penta; Michele Lanza","94-105",12,"https://doi.org/10.1109/ICSE.2017.17",,,TRUE
"ICSE",2017,"conf/icse/icse2017","Research track:
Testing II","Automated transplantation and differential testing for clones.","Tianyi Zhang; Miryung Kim","665-676",12,"https://doi.org/10.1109/ICSE.2017.67",,,TRUE
"ICSE",2017,"conf/icse/icse2017","Research track:
Recommendation systems","Supporting software developers with a holistic recommender system.","Luca Ponzanelli; Simone Scalabrino; Gabriele Bavota; Andrea Mocci; Rocco Oliveto; Massimiliano Di Penta; Michele Lanza","94-105",12,"https://doi.org/10.1109/ICSE.2017.17",,,TRUE
"ICSE",2017,"conf/icse/icse2017","Research track:
Web applications","ZenIDS: introspective intrusion detection for PHP applications.","Byron Hawkins; Brian Demsky","232-243",12,"https://doi.org/10.1109/ICSE.2017.29",,,TRUE
"ICSE",2017,"conf/icse/icse2017","Research track:
Testing II","Code defenders: crowdsourcing effective tests and subtle mutants with a mutation testing game.","José Miguel Rojas; Thomas D. White; Benjamin S. Clegg; Gordon Fraser","677-688",12,"https://doi.org/10.1109/ICSE.2017.68",,,TRUE
"ICSE",2018,"conf/icse/icse2018","Inference and invariants","DroidStar: callback typestates for Android classes.","Arjun Radhakrishna; Nicholas V. Lewchenko; Shawn Meier; Sergio Mover; Krishna Chaitanya Sripada; Damien Zufferey; Bor-Yuh Evan Chang; Pavol Cerný","1160-1170",11,"https://doi.org/10.1145/3180155.3180232",,,TRUE
"ICSE",2018,"conf/icse/icse2018","Empirical studies of code","Accurate and efficient refactoring detection in commit history.","Nikolaos Tsantalis; Matin Mansouri; Laleh Mousavi Eshkevari; Davood Mazinanian; Danny Dig","483-494",12,"https://doi.org/10.1145/3180155.3180206",,,TRUE
"ICSE",2018,"conf/icse/icse2018","Software evolution and maintenance I","Automated localization for unreproducible builds.","Zhilei Ren; He Jiang; Jifeng Xuan; Zijiang Yang","71-81",11,"https://doi.org/10.1145/3180155.3180224",,,TRUE
"ICSE",2018,"conf/icse/icse2018","Empirical software engineering","Large-scale analysis of framework-specific exceptions in Android apps.","Lingling Fan; Ting Su; Sen Chen; Guozhu Meng; Yang Liu; Lihua Xu; Geguang Pu; Zhendong Su","408-419",12,"https://doi.org/10.1145/3180155.3180222",,,TRUE
"ICSE",2018,"conf/icse/icse2018","Test generation","DeepTest: automated testing of deep-neural-network-driven autonomous cars.","Yuchi Tian; Kexin Pei; Suman Jana; Baishakhi Ray","303-314",12,"https://doi.org/10.1145/3180155.3180220",,,TRUE
"TSE",2014,"journals/tse/tse40","Volume 40, Number 2, February 2014","Learning Assumptions for CompositionalVerification of Timed Systems.","Shang-Wei Lin; Étienne André; Yang Liu; Jun Sun; Jin Song Dong","137-153",17,"https://doi.org/10.1109/TSE.2013.57",,,TRUE
"TSE",2014,"journals/tse/tse40","Volume 40, Number 1, January 2014","Overcoming the Equivalent Mutant Problem: A Systematic Literature Review and a Comparative Experiment of Second Order Mutation.","Lech Madeyski; Wojciech Orzeszyna; Richard Torkar; Mariusz Jozala","23-42",20,"https://doi.org/10.1109/TSE.2013.44",,,TRUE
"TSE",2014,"journals/tse/tse40","Volume 40, Number 9, September 2014","A Cooperative Parallel Search-Based Software Engineering Approach for Code-Smells Detection.","Wael Kessentini; Marouane Kessentini; Houari A. Sahraoui; Slim Bechikh; Ali Ouni","841-861",21,"https://doi.org/10.1109/TSE.2014.2331057",,,TRUE
"TSE",2014,"journals/tse/tse40","Volume 40, Number 12, December 2014","Input-Sensitive Profiling.","Emilio Coppa; Camil Demetrescu; Irene Finocchi","1185-1205",21,"https://doi.org/10.1109/TSE.2014.2339825",,,TRUE
"TSE",2014,"journals/tse/tse40","Volume 40, Number 12, December 2014","Input-Sensitive Profiling.","Emilio Coppa; Camil Demetrescu; Irene Finocchi","1185-1205",21,"https://doi.org/10.1109/TSE.2014.2339825",,,TRUE
"TSE",2015,"journals/tse/tse41","Volume 41, Number 4, April 2015","Improving Multi-Objective Test Case Selection by Injecting Diversity in Genetic Algorithms.","Annibale Panichella; Rocco Oliveto; Massimiliano Di Penta; Andrea De Lucia","358-383",26,"https://doi.org/10.1109/TSE.2014.2364175",,,TRUE
"TSE",2015,"journals/tse/tse41","Volume 41, Number 12, December 2015","An Ontology-Based Product Architecture Derivation Approach.","Hector A. Duran-Limon; Carlos A. Garcia-Rios; Francisco Edgar Castillo-Barrera; Rafael Capilla","1153-1168",16,"https://doi.org/10.1109/TSE.2015.2449854",,,TRUE
"TSE",2015,"journals/tse/tse41","Volume 41, Number 12, December 2015","Software Plagiarism Detection with Birthmarks Based on Dynamic Key Instruction Sequences.","Zhenzhou Tian; Qinghua Zheng; Ting Liu; Ming Fan; Eryue Zhuang; Zijiang Yang","1217-1235",19,"https://doi.org/10.1109/TSE.2015.2454508",,,TRUE
"TSE",2015,"journals/tse/tse41","Volume 41, Number 8, August 2015","The Effect of GoF Design Patterns on Stability: A Case Study.","Apostolos Ampatzoglou; Alexander Chatzigeorgiou; Sofia Charalampidou; Paris Avgeriou","781-802",22,"https://doi.org/10.1109/TSE.2015.2414917",,,TRUE
"TSE",2015,"journals/tse/tse41","Volume 41, Number 8, August 2015","Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study.","Sarah Nadi; Thorsten Berger; Christian Kästner; Krzysztof Czarnecki","820-841",22,"https://doi.org/10.1109/TSE.2015.2415793",,,TRUE
"TSE",2016,"journals/tse/tse42","Volume 42, Number 4, April 2016","Mapping Bug Reports to Relevant Files: A Ranking Model, a Fine-Grained Benchmark, and Feature Evaluation.","Xin Ye; Razvan C. Bunescu; Chang Liu","379-402",24,"https://doi.org/10.1109/TSE.2015.2479232",,,TRUE
"TSE",2016,"journals/tse/tse42","Volume 42, Number 2, February 2016","SITAR: GUI Test Script Repair.","Zebao Gao; Zhenyu Chen; Yunxiao Zou; Atif M. Memon","170-186",17,"https://doi.org/10.1109/TSE.2015.2454510",,,TRUE
"TSE",2016,"journals/tse/tse42","Volume 42, Number 8, August 2016","The Role of Ethnographic Studies in Empirical Software Engineering.","Helen Sharp; Yvonne Dittrich; Cleidson R. B. de Souza","786-804",19,"https://doi.org/10.1109/TSE.2016.2519887",,,TRUE
"TSE",2016,"journals/tse/tse42","Volume 42, Number 12, December 2016","Engineering Adaptive Model-Driven User Interfaces.","Pierre A. Akiki; Arosha K. Bandara; Yijun Yu","1118-1147",30,"https://doi.org/10.1109/TSE.2016.2553035",,,TRUE
"TSE",2016,"journals/tse/tse42","Volume 42, Number 2, February 2016","SITAR: GUI Test Script Repair.","Zebao Gao; Zhenyu Chen; Yunxiao Zou; Atif M. Memon","170-186",17,"https://doi.org/10.1109/TSE.2015.2454510",,,TRUE
"TSE",2017,"journals/tse/tse43","Volume 43, Number 12, December 2017","On the Positive Effect of Reactive Programming on Software Comprehension: An Empirical Study.","Guido Salvaneschi; Sebastian Proksch; Sven Amann; Sarah Nadi; Mira Mezini","1125-1143",19,"https://doi.org/10.1109/TSE.2017.2655524",,,TRUE
"TSE",2017,"journals/tse/tse43","Volume 43, Number 6, June 2017","Automated Steering of Model-Based Test Oracles to Admit Real Program Behaviors.","Gregory Gay; Sanjai Rayadurgam; Mats Per Erik Heimdahl","531-555",25,"https://doi.org/10.1109/TSE.2016.2615311",,,TRUE
"TSE",2017,"journals/tse/tse43","Volume 43, Number 7, July 2017","A Framework for Evaluating the Results of the SZZ Approach for Identifying Bug-Introducing Changes.","Daniel Alencar da Costa; Shane McIntosh; Weiyi Shang; Uirá Kulesza; Roberta Coelho; Ahmed E. Hassan","641-657",17,"https://doi.org/10.1109/TSE.2016.2616306",,,TRUE
"TSE",2017,"journals/tse/tse43","Volume 43, Number 5, May 2017","Model-Based Self-Aware Performance and Resource Management Using the Descartes Modeling Language.","Nikolaus Huber; Fabian Brosig; Simon Spinner; Samuel Kounev; Manuel Bähr","432-452",21,"https://doi.org/10.1109/TSE.2016.2613863",,,TRUE
"TSE",2017,"journals/tse/tse43","Volume 43, Number 3, March 2017","Automating Live Update for Generic Server Programs.","Cristiano Giuffrida; Calin Iorgulescu; Giordano Tamburrelli; Andrew S. Tanenbaum","207-225",19,"https://doi.org/10.1109/TSE.2016.2584066",,,TRUE
"TSE",2018,"journals/tse/tse44","Volume 44, Number 8, August 2018","A Formal Specification and Verification Framework for Timed Security Protocols.","Li Li; Jun Sun; Yang Liu; Meng Sun; Jin Song Dong","725-746",22,"https://doi.org/10.1109/TSE.2017.2712621",,,TRUE
"TSE",2018,"journals/tse/tse44","Volume 44, Number 11, November 2018","Data Scientists in Software Teams: State of the Art and Challenges.","Miryung Kim; Thomas Zimmermann; Robert DeLine; Andrew Begel","1024-1038",15,"https://doi.org/10.1109/TSE.2017.2754374",,,TRUE
"TSE",2018,"journals/tse/tse44","Volume 44, Number 6, June 2018","A PVS-Simulink Integrated Environment for Model-Based Analysis of Cyber-Physical Systems.","Cinzia Bernardeschi; Andrea Domenici; Paolo Masci","512-533",22,"https://doi.org/10.1109/TSE.2017.2694423",,,TRUE
"TSE",2018,"journals/tse/tse44","Volume 44, Number 7, July 2018","Mining Semantic Loop Idioms.","Miltiadis Allamanis; Earl T. Barr; Christian Bird; Premkumar T. Devanbu; Mark Marron; Charles A. Sutton","651-668",18,"https://doi.org/10.1109/TSE.2018.2832048",,,TRUE
"TSE",2018,"journals/tse/tse44","Volume 44, Number 5, May 2018","Detecting Overly Strong Preconditions in Refactoring Engines.","Melina Mongiovi; Rohit Gheyi; Gustavo Soares; Márcio Ribeiro; Paulo Borba; Leopoldo Teixeira","429-452",24,"https://doi.org/10.1109/TSE.2017.2693982",,,TRUE
"FSE",2014,"conf/sigsoft/fse2014","Improving Recommender Systems","On the localness of software.","Zhaopeng Tu; Zhendong Su; Premkumar T. Devanbu","269-280",12,"https://doi.org/10.1145/2635868.2635875",,,TRUE
"FSE",2014,"conf/sigsoft/fse2014","Concurrency and Parallelism","Sherlock: scalable deadlock detection for concurrent programs.","Mahdi Eslamimehr; Jens Palsberg","353-365",13,"https://doi.org/10.1145/2635868.2635918",,,TRUE
"FSE",2014,"conf/sigsoft/fse2014","Debugging and Refactoring","A foundation for refactoring C with macros.","Jeffrey L. Overbey; Farnaz Behrang; Munawar Hafiz","75-85",11,"https://doi.org/10.1145/2635868.2635908",,,TRUE
"FSE",2014,"conf/sigsoft/fse2014","Mining Software Repositories","Let's talk about it: evaluating contributions through discussion in GitHub.","Jason Tsay; Laura Dabbish; James D. Herbsleb","144-154",11,"https://doi.org/10.1145/2635868.2635882",,,TRUE
"FSE",2014,"conf/sigsoft/fse2014","Regression Testing","Identifying the characteristics of vulnerable code changes: an empirical study.","Amiangshu Bosu; Jeffrey C. Carver; Munawar Hafiz; Patrick Hilley; Derek Janni","257-268",12,"https://doi.org/10.1145/2635868.2635880",,,TRUE
"FSE",2015,"conf/sigsoft/fse2015","Web Applications","JITProf: pinpointing JIT-unfriendly JavaScript code.","Liang Gong; Michael Pradel; Koushik Sen","357-368",12,"https://doi.org/10.1145/2786805.2786831",,,TRUE
"FSE",2015,"conf/sigsoft/fse2015","Mobile Applications","String analysis for Java and Android applications.","Ding Li; Yingjun Lyu; Mian Wan; William G. J. Halfond","661-672",12,"https://doi.org/10.1145/2786805.2786879",,,TRUE
"FSE",2015,"conf/sigsoft/fse2015","Web Applications","JITProf: pinpointing JIT-unfriendly JavaScript code.","Liang Gong; Michael Pradel; Koushik Sen","357-368",12,"https://doi.org/10.1145/2786805.2786831",,,TRUE
"FSE",2015,"conf/sigsoft/fse2015","Symbolic Execution","Iterative distribution-aware sampling for probabilistic symbolic execution.","Mateus Borges; Antonio Filieri; Marcelo d'Amorim; Corina S. Pasareanu","866-877",12,"https://doi.org/10.1145/2786805.2786832",,,TRUE
"FSE",2015,"conf/sigsoft/fse2015","Mobile Applications","CLAPP: characterizing loops in Android applications.","Yanick Fratantonio; Aravind Machiry; Antonio Bianchi; Christopher Kruegel; Giovanni Vigna","687-697",11,"https://doi.org/10.1145/2786805.2786873",,,TRUE
"FSE",2016,"conf/sigsoft/fse2016","Research Papers","An extensive study of static regression test selection in modern software evolution.","Owolabi Legunsen; Farah Hariri; August Shi; Yafeng Lu; Lingming Zhang; Darko Marinov","583-594",12,"https://doi.org/10.1145/2950290.2950361",,,TRUE
"FSE",2016,"conf/sigsoft/fse2016","Research Papers","On-demand strong update analysis via value-flow refinement.","Yulei Sui; Jingling Xue","460-473",14,"https://doi.org/10.1145/2950290.2950296",,,TRUE
"FSE",2016,"conf/sigsoft/fse2016","Research Papers","Effort-aware just-in-time defect prediction: simple unsupervised models could be better than supervised models.","Yibiao Yang; Yuming Zhou; Jinping Liu; Yangyang Zhao; Hongmin Lu; Lei Xu; Baowen Xu; Hareton Leung","157-168",12,"https://doi.org/10.1145/2950290.2950353",,,TRUE
"FSE",2016,"conf/sigsoft/fse2016","Research Papers","Revamping JavaScript static analysis via localization and remediation of root causes of imprecision.","Shiyi Wei; Omer Tripp; Barbara G. Ryder; Julian Dolby","487-498",12,"https://doi.org/10.1145/2950290.2950338",,,TRUE
"FSE",2016,"conf/sigsoft/fse2016","Research Papers","Gray links in the use of requirements traceability.","Nan Niu; Wentao Wang; Arushi Gupta","384-395",12,"https://doi.org/10.1145/2950290.2950354",,,TRUE
"FSE",2017,"conf/sigsoft/fse2017","Research Papers","Automatically analyzing groups of crashes for finding correlations.","Marco Castelluccio; Carlo Sansone; Luisa Verdoliva; Giovanni Poggi","717-726",10,"https://doi.org/10.1145/3106237.3106306",,,TRUE
"FSE",2017,"conf/sigsoft/fse2017","Research Papers","LAMP: data provenance for graph based machine learning algorithms through derivative computation.","Shiqing Ma; Yousra Aafer; Zhaogui Xu; Wen-Chuan Lee; Juan Zhai; Yingqi Liu; Xiangyu Zhang","786-797",12,"https://doi.org/10.1145/3106237.3106291",,,TRUE
"FSE",2017,"conf/sigsoft/fse2017","Research Papers","Reproducing concurrency failures from crash stacks.","Francesco A. Bianchi; Mauro Pezzè; Valerio Terragni","705-716",12,"https://doi.org/10.1145/3106237.3106292",,,TRUE
"FSE",2017,"conf/sigsoft/fse2017","Research Papers","NoFAQ: synthesizing command repairs from examples.","Loris D'Antoni; Rishabh Singh; Michael Vaughn","582-592",11,"https://doi.org/10.1145/3106237.3106241",,,TRUE
"FSE",2017,"conf/sigsoft/fse2017","Research Papers","On the scalability of Linux kernel maintainers' work.","Minghui Zhou; Qingying Chen; Audris Mockus; Fengguang Wu","27-37",11,"https://doi.org/10.1145/3106237.3106287",,,TRUE
"FSE",2018,"conf/sigsoft/fse2018","Concurrency and Races","CloudRaid: hunting concurrency bugs in the cloud via log-mining.","Jie Lu; Feng Li; Lian Li; Xiaobing Feng","3-14",12,"https://doi.org/10.1145/3236024.3236071",,,TRUE
"FSE",2018,"conf/sigsoft/fse2018","Deep Learning","MODE: automated neural network model debugging via state differential analysis and input selection.","Shiqing Ma; Yingqi Liu; Wen-Chuan Lee; Xiangyu Zhang; Ananth Grama","175-186",12,"https://doi.org/10.1145/3236024.3236082",,,TRUE
"FSE",2018,"conf/sigsoft/fse2018","Developer Studies","Towards a theory of software development expertise.","Sebastian Baltes; Stephan Diehl","187-200",14,"https://doi.org/10.1145/3236024.3236061",,,TRUE
"FSE",2018,"conf/sigsoft/fse2018","Concurrency and Races","Data race detection on compressed traces.","Dileep Kini; Umang Mathur; Mahesh Viswanathan","26-37",12,"https://doi.org/10.1145/3236024.3236025",,,TRUE
"FSE",2018,"conf/sigsoft/fse2018","Mobile Apps","AppFlow: using machine learning to synthesize robust, reusable UI tests.","Gang Hu; Linjie Zhu; Junfeng Yang","269-282",14,"https://doi.org/10.1145/3236024.3236055",,,TRUE
"TOSEM",2014,"journals/tosem/tosem23","Volume 23, Number 2, March 2014","Guided test generation for database applications via synthesized database interactions.","Kai Pan; Xintao Wu; Tao Xie","12:1-12:27",27,"https://doi.org/10.1145/2491529",,,TRUE
"TOSEM",2014,"journals/tosem/tosem23","Volume 23, Number 1, February 2014","Prevalence of coincidental correctness and mitigation of its impact on fault localization.","Wes Masri; Rawad Abou Assi","8:1-8:28",28,"https://doi.org/10.1145/2559932",,,TRUE
"TOSEM",2014,"journals/tosem/tosem23","Volume 23, Number 2, March 2014","Exact scalable sensitivity analysis for the next release problem.","Mark Harman; Jens Krinke; Inmaculada Medina-Bulo; Francisco Palomo-Lozano; Jian Ren; Shin Yoo","19:1-19:31",31,"https://doi.org/10.1145/2537853",,,TRUE
"TOSEM",2014,"journals/tosem/tosem23","Volume 23, Number 4, August 2014","DIG: A Dynamic Invariant Generator for Polynomial and Array Invariants.","ThanhVu Nguyen; Deepak Kapur; Westley Weimer; Stephanie Forrest","30:1-30:30",30,"https://doi.org/10.1145/2556782",,,TRUE
"TOSEM",2014,"journals/tosem/tosem23","Volume 23, Number 4, August 2014","On the Comprehension of Program Comprehension.","Walid Maalej; Rebecca Tiarks; Tobias Roehm; Rainer Koschke","31:1-31:37",37,"https://doi.org/10.1145/2622669",,,TRUE
"TOSEM",2015,"journals/tosem/tosem24","Volume 24, Number 2, December 2014","When and How to Use Multilevel Modelling.","Juan de Lara; Esther Guerra; Jesús Sánchez Cuadrado","12:1-12:46",46,"https://doi.org/10.1145/2685615",,,TRUE
"TOSEM",2015,"journals/tosem/tosem24","Volume 24, Number 4, August 2015","Does Automated Unit Test Generation Really Help Software Testers? A Controlled Empirical Study.","Gordon Fraser; Matt Staats; Phil McMinn; Andrea Arcuri; Frank Padberg","23:1-23:49",49,"https://doi.org/10.1145/2699688",,,TRUE
"TOSEM",2015,"journals/tosem/tosem24","Volume 24, Number 2, December 2014","Residual Investigation: Predictive and Precise Bug Detection.","Kaituo Li; Christoph Reichenbach; Christoph Csallner; Yannis Smaragdakis","7:1-7:32",32,"https://doi.org/10.1145/2656201",,,TRUE
"TOSEM",2015,"journals/tosem/tosem24","Volume 24, Number 3, May 2015","Deciding Type-Based Partial-Order Constraints for Path-Sensitive Analysis.","Elena Sherman; Brady J. Garvin; Matthew B. Dwyer","15:1-15:33",33,"https://doi.org/10.1145/2755971",,,TRUE
"TOSEM",2015,"journals/tosem/tosem24","Volume 24, Number 4, August 2015","Automated Support for Reproducing and Debugging Field Failures.","Wei Jin; Alessandro Orso","26:1-26:35",35,"https://doi.org/10.1145/2774218",,,TRUE
"TOSEM",2016,"journals/tosem/tosem25","Volume 25, Number 3, August 2016","Learning Weighted Assumptions for Compositional Verification of Markov Decision Processes.","Fei He; Xiaowei Gao; Miaofei Wang; Bow-Yaw Wang; Lijun Zhang","21:1-21:39",39,"https://doi.org/10.1145/2907943",,,TRUE
"TOSEM",2016,"journals/tosem/tosem25","Volume 25, Number 2, May 2016","Understanding JavaScript Event-Based Interactions with Clematis.","Saba Alimadadi; Sheldon Sequeira; Ali Mesbah; Karthik Pattabiraman","12:1-12:38",38,"https://doi.org/10.1145/2876441",,,TRUE
"TOSEM",2016,"journals/tosem/tosem25","Volume 25, Number 4, May 2017","Dynamic Dependence Summaries.","Vijay Krishna Palepu; Guoqing (Harry) Xu; James A. Jones","30:1-30:41",41,"https://doi.org/10.1145/2968444",,,TRUE
"TOSEM",2016,"journals/tosem/tosem25","Volume 25, Number 4, May 2017"," Typing for Model-Driven Engineering: Concepts, Analysis, and Applications.","Juan de Lara; Esther Guerra","31:1-31:60",60,"https://doi.org/10.1145/3063384",,,TRUE
"TOSEM",2016,"journals/tosem/tosem25","Volume 25, Number 1, December 2015","Boa: Ultra-Large-Scale Software Repository and Source-Code Mining.","Robert Dyer; Hoan Anh Nguyen; Hridesh Rajan; Tien N. Nguyen","7:1-7:34",34,"https://doi.org/10.1145/2803171",,,TRUE
"TOSEM",2017,"journals/tosem/tosem26","Volume 26, Number 1, July 2017","Ensuring the Consistency of Adaptation through Inter- and Intra-Component Dependency Analysis.","Alireza Sadeghi; Naeem Esfahani; Sam Malek","2:1-2:27",27,"https://doi.org/10.1145/3063385",,,TRUE
"TOSEM",2017,"journals/tosem/tosem26","Volume 26, Number 4, February 2018","Detecting the Behavior of Design Patterns through Model Checking and Dynamic Analysis.","Andrea De Lucia; Vincenzo Deufemia; Carmine Gravino; Michele Risi","13:1-13:41",41,"https://doi.org/10.1145/3176643",,,TRUE
"TOSEM",2017,"journals/tosem/tosem26","Volume 26, Number 1, July 2017","Ensuring the Consistency of Adaptation through Inter- and Intra-Component Dependency Analysis.","Alireza Sadeghi; Naeem Esfahani; Sam Malek","2:1-2:27",27,"https://doi.org/10.1145/3063385",,,TRUE
"TOSEM",2017,"journals/tosem/tosem26","Volume 26, Number 4, February 2018","Understanding and Combating Memory Bloat in Managed Data-Intensive Systems.","Khanh Nguyen; Kai Wang; Yingyi Bu; Lu Fang; Guoqing (Harry) Xu","12:1-12:41",41,"https://doi.org/10.1145/3162626",,,TRUE
"TOSEM",2017,"journals/tosem/tosem26","Volume 26, Number 4, February 2018","Understanding and Combating Memory Bloat in Managed Data-Intensive Systems.","Khanh Nguyen; Kai Wang; Yingyi Bu; Lu Fang; Guoqing (Harry) Xu","12:1-12:41",41,"https://doi.org/10.1145/3162626",,,TRUE
"TOSEM",2018,"journals/tosem/tosem27","Volume 27, Number 3, October 2018","Shadow Symbolic Execution for Testing Software Patches.","Tomasz Kuchta; Hristina Palikareva; Cristian Cadar","10:1-10:32",32,"https://doi.org/10.1145/3208952",,,TRUE
"TOSEM",2018,"journals/tosem/tosem27","Volume 27, Number 4, November 2018","Recommending Who to Follow in the Software Engineering Twitter Space.","Abhishek Sharma; Yuan Tian; Agus Sulistya; Dinusha Wijedasa; David Lo","16:1-16:33",33,"https://dl.acm.org/citation.cfm?id=3266426",,,TRUE
"TOSEM",2018,"journals/tosem/tosem27","Volume 27, Number 4, November 2018","Refactoring Multi-Level Models.","Juan de Lara; Esther Guerra","17:1-17:56",56,"https://dl.acm.org/citation.cfm?id=3280985",,,TRUE
"TOSEM",2018,"journals/tosem/tosem27","Volume 27, Number 2, July 2018","Maintaining Architecture-Implementation Conformance to Support Architecture Centrality: From Single System to Product Line Development.","Yongjie Zheng; Cuong Cu; Richard N. Taylor","8:1-8:52",52,"https://doi.org/10.1145/3229048",,,TRUE
"TOSEM",2018,"journals/tosem/tosem27","Volume 27, Number 3, October 2018","Linear Programming as a Baseline for Software Effort Estimation.","Federica Sarro; Alessio Petrozziello","12:1-12:28",28,"https://doi.org/10.1145/3234940",,,TRUE
