venue,year,identifier,heading,title,authors,page_range,length,electronic_edition,comment
ICSE,2014,conf/icse/icse2014,Configuration Management,How do centralized and distributed version control systems impact software changes?,Caius Brindescu; Mihai Codoban; Sergii Shmarkatiuk; Danny Dig,322-333,12,https://doi.org/10.1145/2568225.2568322,
ICSE,2014,conf/icse/icse2014,Configuration Management,"Transition from centralized to decentralized version control systems: a case study on reasons, barriers, and outcomes.",Kivanç Muslu; Christian Bird; Nachiappan Nagappan; Jacek Czerwonka,334-344,11,https://doi.org/10.1145/2568225.2568284,
ICSE,2014,conf/icse/icse2014,Configuration Management,An exploratory study of the pull-based software development model.,Georgios Gousios; Martin Pinzger; Arie van Deursen,345-355,11,https://doi.org/10.1145/2568225.2568260,
ICSE,2014,conf/icse/icse2014,Configuration Management,Influence of social and technical factors for evaluating contribution in GitHub.,Jason Tsay; Laura Dabbish; James D. Herbsleb,356-366,11,https://doi.org/10.1145/2568225.2568315,
ICSE,2014,conf/icse/icse2014,Software Understanding,Understanding JavaScript event-based interactions.,Saba Alimadadi; Sheldon Sequeira; Ali Mesbah; Karthik Pattabiraman,367-377,11,https://doi.org/10.1145/2568225.2568268,
ICSE,2014,conf/icse/icse2014,Software Understanding,Understanding understanding source code with functional magnetic resonance imaging.,Janet Siegmund; Christian Kästner; Sven Apel; Chris Parnin; Anja Bethmann; Thomas Leich; Gunter Saake; André Brechmann,378-389,12,https://doi.org/10.1145/2568225.2568252,
ICSE,2014,conf/icse/icse2014,Software Understanding,Improving automated source code summarization via an eye-tracking study of programmers.,Paige Rodeghero; Collin McMillan; Paul W. McBurney; Nigel Bosch; Sidney K. D'Mello,390-401,12,https://doi.org/10.1145/2568225.2568247,
ICSE,2014,conf/icse/icse2014,Software Understanding,Using psycho-physiological measures to assess task difficulty in software development.,Thomas Fritz; Andrew Begel; Sebastian C. Müller; Serap Yigit-Elliott; Manuela Züger,402-413,12,https://doi.org/10.1145/2568225.2568266,
ICSE,2014,conf/icse/icse2014,Prediction,Dictionary learning based software defect prediction.,Xiao-Yuan Jing; Shi Ying; Zhi-Wu Zhang; Shanshan Wu; Jin Liu,414-423,10,https://doi.org/10.1145/2568225.2568320,
ICSE,2014,conf/icse/icse2014,Prediction,Comparing static bug finders and statistical prediction.,Foyzur Rahman; Sameer Khatri; Earl T. Barr; Premkumar T. Devanbu,424-434,11,https://doi.org/10.1145/2568225.2568269,
ICSE,2014,conf/icse/icse2014,Prediction,Coverage is not strongly correlated with test suite effectiveness.,Laura Inozemtseva; Reid Holmes,435-445,11,https://doi.org/10.1145/2568225.2568271,
ICSE,2014,conf/icse/icse2014,Prediction,How to make best use of cross-company data in software effort estimation?,Leandro L. Minku; Xin Yao,446-456,11,https://doi.org/10.1145/2568225.2568228,
ICSE,2014,conf/icse/icse2014,Concurrency,CARE: cache guided deterministic replay for concurrent Java programs.,Yanyan Jiang; Tianxiao Gu; Chang Xu; Xiaoxing Ma; Jian Lu,457-467,11,https://doi.org/10.1145/2568225.2568236,
ICSE,2014,conf/icse/icse2014,Concurrency,Inferring models of concurrent systems from logs of their behavior with CSight.,Ivan Beschastnikh; Yuriy Brun; Michael D. Ernst; Arvind Krishnamurthy,468-479,12,https://doi.org/10.1145/2568225.2568246,
ICSE,2014,conf/icse/icse2014,Concurrency,Unleashing concurrency for irregular data structures.,Peng Liu; Charles Zhang,480-490,11,https://doi.org/10.1145/2568225.2568277,
ICSE,2014,conf/icse/icse2014,Concurrency,ConLock: a constraint-based approach to dynamic checking on deadlocks in multithreaded programs.,Yan Cai; Shangru Wu; W. K. Chan,491-502,12,https://doi.org/10.1145/2568225.2568312,
ICSE,2014,conf/icse/icse2014,Apps and Energy,SEEDS: a software engineer's energy-optimization decision support framework.,Irene Lizeth Manotas Gutiérrez; Lori L. Pollock; James Clause,503-514,12,https://doi.org/10.1145/2568225.2568297,
ICSE,2014,conf/icse/icse2014,Apps and Energy,APE: an annotation language and middleware for energy-efficient mobile application development.,Nima Nikzad; Octav Chipara; William G. Griswold,515-526,12,https://doi.org/10.1145/2568225.2568288,
ICSE,2014,conf/icse/icse2014,Apps and Energy,Making web applications more energy efficient for OLED smartphones.,Ding Li; Angelica Huyen Tran; William G. J. Halfond,527-538,12,https://doi.org/10.1145/2568225.2568321,
ICSE,2014,conf/icse/icse2014,Testing 2,Micro execution.,Patrice Godefroid,539-549,11,https://doi.org/10.1145/2568225.2568273,
ICSE,2014,conf/icse/icse2014,Testing 2,Unit test virtualization with VMVM.,Jonathan Bell; Gail E. Kaiser,550-561,12,https://doi.org/10.1145/2568225.2568248,
ICSE,2014,conf/icse/icse2014,Testing 2,Interpolated n-grams for model based testing.,Paolo Tonella; Roberto Tiella; Duy Cu Nguyen,562-572,11,https://doi.org/10.1145/2568225.2568242,
ICSE,2014,conf/icse/icse2014,Testing 2,An analysis of the relationship between conditional entropy and failed error propagation in software testing.,Kelly Androutsopoulos; David Clark; Haitao Dan; Robert M. Hierons; Mark Harman,573-583,11,https://doi.org/10.1145/2568225.2568314,
ICSE,2014,conf/icse/icse2014,"Code Contracts, Invariants, and Robustness",Trading robustness for maintainability: an empirical study of evolving c# programs.,Nélio Cacho; Thiago César; Thomas Filipe; Eliezio Soares; Arthur Cassio; Rafael Souza; Israel García; Eiji Adachi Barbosa; Alessandro Garcia,584-595,12,https://doi.org/10.1145/2568225.2568308,
ICSE,2014,conf/icse/icse2014,"Code Contracts, Invariants, and Robustness",Case studies and tools for contract specifications.,Todd W. Schiller; Kellen Donohue; Forrest Coward; Michael D. Ernst,596-607,12,https://doi.org/10.1145/2568225.2568285,
ICSE,2014,conf/icse/icse2014,"Code Contracts, Invariants, and Robustness",Using dynamic analysis to generate disjunctive invariants.,ThanhVu Nguyen; Deepak Kapur; Westley Weimer; Stephanie Forrest,608-619,12,https://doi.org/10.1145/2568225.2568275,
ICSE,2014,conf/icse/icse2014,"Code Contracts, Invariants, and Robustness",Inductive verification of data model invariants for web applications.,Ivan Bocic; Tevfik Bultan,620-631,12,https://doi.org/10.1145/2568225.2568281,
ICSE,2014,conf/icse/icse2014,Search and APIs,How do API documentation and static typing affect API usability?,Stefan Endrikat; Stefan Hanenberg; Romain Robbes; Andreas Stefik,632-642,11,https://doi.org/10.1145/2568225.2568299,
ICSE,2014,conf/icse/icse2014,Search and APIs,Live API documentation.,Siddharth Subramanian; Laura Inozemtseva; Reid Holmes,643-652,10,https://doi.org/10.1145/2568225.2568313,
ICSE,2014,conf/icse/icse2014,Search and APIs,CodeHint: dynamic and interactive synthesis of code snippets.,Joel Galenson; Philip Reames; Rastislav Bodík; Björn Hartmann; Koushik Sen,653-663,11,https://doi.org/10.1145/2568225.2568250,
ICSE,2014,conf/icse/icse2014,Search and APIs,Spotting working code examples.,Iman Keivanloo; Juergen Rilling; Ying Zou,664-675,12,https://doi.org/10.1145/2568225.2568292,
ICSE,2014,conf/icse/icse2014,Adaptive Systems,Self-adaptation through incremental generative model transformations at runtime.,Bihuan Chen; Xin Peng; Yijun Yu; Bashar Nuseibeh; Wenyun Zhao,676-687,12,https://doi.org/10.1145/2568225.2568310,
ICSE,2014,conf/icse/icse2014,Adaptive Systems,"Hope for the best, prepare for the worst: multi-tier control for adaptive systems.",Nicolás D'Ippolito; Víctor A. Braberman; Jeff Kramer; Jeff Magee; Daniel Sykes; Sebastián Uchitel,688-699,12,https://doi.org/10.1145/2568225.2568264,
ICSE,2014,conf/icse/icse2014,Adaptive Systems,Brownout: building more robust cloud applications.,Cristian Klein; Martina Maggio; Karl-Erik Årzén; Francisco Hernández-Rodriguez,700-711,12,https://doi.org/10.1145/2568225.2568227,
ICSE,2014,conf/icse/icse2014,Adaptive Systems,Integrating adaptive user interface capabilities in enterprise applications.,Pierre A. Akiki; Arosha K. Bandara; Yijun Yu,712-723,12,https://doi.org/10.1145/2568225.2568230,
ICSE,2014,conf/icse/icse2014,Build and Package Management,Programmers' build errors: a case study (at google).,Hyunmin Seo; Caitlin Sadowski; Sebastian G. Elbaum; Edward Aftandilian; Robert W. Bowdidge,724-734,11,https://doi.org/10.1145/2568225.2568255,
ICSE,2014,conf/icse/icse2014,Build and Package Management,Understanding and improving software build teams.,Shaun Phillips; Thomas Zimmermann; Christian Bird,735-744,10,https://doi.org/10.1145/2568225.2568274,
ICSE,2014,conf/icse/icse2014,Build and Package Management,Towards efficient optimization in package management systems.,Alexey Ignatiev; Mikolás Janota; João Marques-Silva,745-755,11,https://doi.org/10.1145/2568225.2568306,
ICSE,2014,conf/icse/icse2014,Build and Package Management,Easing software component repository evolution.,Jérôme Vouillon; Mehdi Dogguy; Roberto Di Cosmo,756-766,11,https://doi.org/10.1145/2568225.2568262,
ICSE,2014,conf/icse/icse2014,Mining,AR-miner: mining informative reviews for developers from mobile app marketplace.,Ning Chen; Jialiu Lin; Steven C. H. Hoi; Xiaokui Xiao; Boshen Zhang,767-778,12,https://doi.org/10.1145/2568225.2568263,
ICSE,2014,conf/icse/icse2014,Mining,Mining billions of AST nodes to study actual and potential usage of Java language features.,Robert Dyer; Hridesh Rajan; Hoan Anh Nguyen; Tien N. Nguyen,779-790,12,https://doi.org/10.1145/2568225.2568295,
ICSE,2014,conf/icse/icse2014,Mining,"Mining interprocedural, data-oriented usage patterns in JavaScript web applications.",Hung Viet Nguyen; Hoan Anh Nguyen; Anh Tuan Nguyen; Tien N. Nguyen,791-802,12,https://doi.org/10.1145/2568225.2568302,
ICSE,2014,conf/icse/icse2014,Mining,Mining fine-grained code changes to detect unknown change patterns.,Stas Negara; Mihai Codoban; Danny Dig; Ralph E. Johnson,803-813,11,https://doi.org/10.1145/2568225.2568317,
ICSE,2014,conf/icse/icse2014,Automated Bug Detection and Repair,Detecting memory leaks through introspective dynamic behavior modelling using machine learning.,Sangho Lee; Changhee Jung; Santosh Pande,814-824,11,https://doi.org/10.1145/2568225.2568307,
ICSE,2014,conf/icse/icse2014,Automated Bug Detection and Repair,Automated memory leak detection for production use.,Changhee Jung; Sangho Lee; Easwaran Raman; Santosh Pande,825-836,12,https://doi.org/10.1145/2568225.2568311,
ICSE,2014,conf/icse/icse2014,Automated Bug Detection and Repair,Vejovis: suggesting fixes for JavaScript faults.,Frolin S. Ocariza Jr.; Karthik Pattabiraman; Ali Mesbah,837-847,11,https://doi.org/10.1145/2568225.2568257,
ICSE,2014,conf/icse/icse2014,Automated Bug Detection and Repair,Is spreadsheet ambiguity harmful? detecting and repairing spreadsheet smells due to ambiguous computation.,Wensheng Dou; Shing-Chi Cheung; Jun Wei,848-858,11,https://doi.org/10.1145/2568225.2568316,
ICSE,2014,conf/icse/icse2014,Requirements,"Us and them: a study of privacy requirements across north america, asia, and europe.",Swapneel Sheth; Gail E. Kaiser; Walid Maalej,859-870,12,https://doi.org/10.1145/2568225.2568244,
ICSE,2014,conf/icse/icse2014,Requirements,Distilling privacy requirements for mobile applications.,Keerthi Thomas; Arosha K. Bandara; Blaine A. Price; Bashar Nuseibeh,871-882,12,https://doi.org/10.1145/2568225.2568240,
ICSE,2014,conf/icse/icse2014,Requirements,"Uncertainty, risk, and information value in software requirements and architecture.",Emmanuel Letier; David Stefan; Earl T. Barr,883-894,12,https://doi.org/10.1145/2568225.2568239,
ICSE,2014,conf/icse/icse2014,Requirements,Requirements fixation.,Rahul Mohanani; Paul Ralph; Ben Shreeve,895-906,12,https://doi.org/10.1145/2568225.2568235,
ICSE,2014,conf/icse/icse2014,Testing and Conformance Verification,Exploring variability-aware execution for testing plugin-based web applications.,Hung Viet Nguyen; Christian Kästner; Tien N. Nguyen,907-918,12,https://doi.org/10.1145/2568225.2568300,
ICSE,2014,conf/icse/icse2014,Testing and Conformance Verification,A study of equivalent and stubborn mutation operators using human analysis of equivalence.,Xiangjuan Yao; Mark Harman; Yue Jia,919-930,12,https://doi.org/10.1145/2568225.2568265,
ICSE,2014,conf/icse/icse2014,Testing and Conformance Verification,Cross-checking oracles from intrinsic software redundancy.,Antonio Carzaniga; Alberto Goffi; Alessandra Gorla; Andrea Mattavelli; Mauro Pezzè,931-942,12,https://doi.org/10.1145/2568225.2568287,
ICSE,2014,conf/icse/icse2014,Testing and Conformance Verification,Mind the gap: assessing the conformance of software traceability to relevant guidelines.,Patrick Rempel; Patrick Mäder; Tobias Kuschke; Jane Cleland-Huang,943-954,12,https://doi.org/10.1145/2568225.2568290,
ICSE,2014,conf/icse/icse2014,Modeling and Interfaces,Effects of using examples on structural model comprehension: a controlled experiment.,Dina Zayan; Michal Antkiewicz; Krzysztof Czarnecki,955-966,12,https://doi.org/10.1145/2568225.2568270,
ICSE,2014,conf/icse/icse2014,Modeling and Interfaces,Design rule spaces: a new form of architecture insight.,Lu Xiao; Yuanfang Cai; Rick Kazman,967-977,11,https://doi.org/10.1145/2568225.2568241,
ICSE,2014,conf/icse/icse2014,Modeling and Interfaces,Controlled modeling environment using flexibly-formatted spreadsheets.,Hisashi Miyashita; Hideki Tai; Shunichi Amano,978-988,11,https://doi.org/10.1145/2568225.2568231,
ICSE,2014,conf/icse/icse2014,Modeling and Interfaces,Feature maintenance with emergent interfaces.,Márcio Ribeiro; Paulo Borba; Christian Kästner,989-1000,12,https://doi.org/10.1145/2568225.2568289,
ICSE,2014,conf/icse/icse2014,Apps and Verification,Detecting performance anti-patterns for applications developed using object-relational mapping.,Tse-Hsun Chen; Weiyi Shang; Zhen Ming Jiang; Ahmed E. Hassan; Mohamed N. Nasser; Parminder Flora,1001-1012,12,https://doi.org/10.1145/2568225.2568259,
ICSE,2014,conf/icse/icse2014,Apps and Verification,Characterizing and detecting performance bugs for smartphone applications.,Yepang Liu; Chang Xu; Shing-Chi Cheung,1013-1024,12,https://doi.org/10.1145/2568225.2568229,
ICSE,2014,conf/icse/icse2014,Apps and Verification,Checking app behavior against app descriptions.,Alessandra Gorla; Ilaria Tavecchia; Florian Gross; Andreas Zeller,1025-1035,11,https://doi.org/10.1145/2568225.2568276,
ICSE,2014,conf/icse/icse2014,Apps and Verification,AsDroid: detecting stealthy behaviors in Android applications by user interface and program behavior contradiction.,Jianjun Huang; Xiangyu Zhang; Lin Tan; Peng Wang; Bin Liang,1036-1046,11,https://doi.org/10.1145/2568225.2568301,
ICSE,2014,conf/icse/icse2014,Symbolic Execution,Patch verification via multiversion interprocedural control flow graphs.,Wei Le; Shannon D. Pattison,1047-1058,12,https://doi.org/10.1145/2568225.2568304,
ICSE,2014,conf/icse/icse2014,Symbolic Execution,Property differencing for incremental checking.,Guowei Yang; Sarfraz Khurshid; Suzette Person; Neha Rungta,1059-1070,12,https://doi.org/10.1145/2568225.2568319,
ICSE,2014,conf/icse/icse2014,Symbolic Execution,Symbolic assume-guarantee reasoning through BDD learning.,Fei He; Bow-Yaw Wang; Liangze Yin; Lei Zhu,1071-1082,12,https://doi.org/10.1145/2568225.2568253,
ICSE,2014,conf/icse/icse2014,Symbolic Execution,Enhancing symbolic execution with veritesting.,Thanassis Avgerinos; Alexandre Rebert; Sang Kil Cha; David Brumley,1083-1094,12,https://doi.org/10.1145/2568225.2568293,
ICSE,2014,conf/icse/icse2014,Refactoring and Reverse Engineering,Manual refactoring changes with automated refactoring validation.,Xi Ge; Emerson R. Murphy-Hill,1095-1105,11,https://doi.org/10.1145/2568225.2568280,
ICSE,2014,conf/icse/icse2014,Refactoring and Reverse Engineering,Alternate refactoring paths reveal usability problems.,Mohsen Vakilian; Ralph E. Johnson,1106-1116,11,https://doi.org/10.1145/2568225.2568282,
ICSE,2014,conf/icse/icse2014,Refactoring and Reverse Engineering,A study and toolkit for asynchronous programming in c#.,Semih Okur; David L. Hartveld; Danny Dig; Arie van Deursen,1117-1127,11,https://doi.org/10.1145/2568225.2568309,
ICSE,2014,conf/icse/icse2014,Refactoring and Reverse Engineering,Reuse-oriented reverse engineering of functional components from x86 binaries.,Dohyeong Kim; William N. Sumner; Xiangyu Zhang; Dongyan Xu; Hira Agrawal,1128-1139,12,https://doi.org/10.1145/2568225.2568296,
ICSE,2015,conf/icse/icse2015-1,Keynotes,Software Engineering in Ferrari F1.,Claudio Silenzi,3,1,https://doi.org/10.1109/ICSE.2015.22,
ICSE,2015,conf/icse/icse2015-1,Keynotes,Mining the Metadata - and Its Consequences.,Susan Landau,4-5,2,https://doi.org/10.1109/ICSE.2015.23,issue_last_page
ICSE,2015,conf/icse/icse2015-1,Reflections and Studies on Methodologies and Practices I,Views on Internal and External Validity in Empirical Software Engineering.,Janet Siegmund; Norbert Siegmund; Sven Apel,9-19,11,https://doi.org/10.1109/ICSE.2015.24,issue_first_page
ICSE,2015,conf/icse/icse2015-1,Reflections and Studies on Methodologies and Practices I,Developing and Evaluating Software Engineering Process Theories.,Paul Ralph,20-31,12,https://doi.org/10.1109/ICSE.2015.25,
ICSE,2015,conf/icse/icse2015-1,Reflections and Studies on Methodologies and Practices I,Automated Data Structure Generation: Refuting Common Wisdom.,Kyle Dewey; Lawton Nichols; Ben Hardekopf,32-43,12,https://doi.org/10.1109/ICSE.2015.26,
ICSE,2015,conf/icse/icse2015-1,Testing I,Automated Modularization of GUI Test Cases.,Rahulkrishna Yandrapally; Giriprasad Sridhara; Saurabh Sinha,44-54,11,https://doi.org/10.1109/ICSE.2015.27,
ICSE,2015,conf/icse/icse2015-1,Testing I,Making System User Interactive Tests Repeatable: When and What Should We Control?,Zebao Gao; Yalan Liang; Myra B. Cohen; Atif M. Memon; Zhen Wang,55-65,11,https://doi.org/10.1109/ICSE.2015.28,
ICSE,2015,conf/icse/icse2015-1,Testing I,ZoomIn: Discovering Failures by Detecting Wrong Assertions.,Fabrizio Pastore; Leonardo Mariani,66-76,11,https://doi.org/10.1109/ICSE.2015.29,
ICSE,2015,conf/icse/icse2015-1,Mobile Applications,Composite Constant Propagation: Application to Android Inter-Component Communication Analysis.,Damien Octeau; Daniel Luchaup; Matthew Dering; Somesh Jha; Patrick D. McDaniel,77-88,12,https://doi.org/10.1109/ICSE.2015.30,
ICSE,2015,conf/icse/icse2015-1,Mobile Applications,Static Control-Flow Analysis of User-Driven Callbacks in Android Applications.,Shengqian Yang; Dacong Yan; Haowei Wu; Yan Wang; Atanas Rountev,89-99,11,https://doi.org/10.1109/ICSE.2015.31,
ICSE,2015,conf/icse/icse2015-1,Mobile Applications,Truth in Advertising: The Hidden Cost of Mobile Ads for Software Developers.,Jiaping Gui; Stuart McIlroy; Meiyappan Nagappan; William G. J. Halfond,100-110,11,https://doi.org/10.1109/ICSE.2015.32,
ICSE,2015,conf/icse/icse2015-1,Evolution and Maintenance,Interactive Code Review for Systematic Changes.,Tianyi Zhang; Myoungkyu Song; Joseph Pinedo; Miryung Kim,111-122,12,https://doi.org/10.1109/ICSE.2015.33,
ICSE,2015,conf/icse/icse2015-1,Evolution and Maintenance,Automated Decomposition of Build Targets.,Mohsen Vakilian; Raluca Sauciuc; J. David Morgenthaler; Vahab S. Mirrokni,123-133,11,https://doi.org/10.1109/ICSE.2015.34,
ICSE,2015,conf/icse/icse2015-1,Evolution and Maintenance,Helping Developers Help Themselves: Automatic Decomposition of Code Review Changesets.,Mike Barnett; Christian Bird; João Brunet; Shuvendu K. Lahiri,134-144,11,https://doi.org/10.1109/ICSE.2015.35,
ICSE,2015,conf/icse/icse2015-1,Analysis I,Data-Delineation in Software Binaries and its Application to Buffer-Overrun Discovery.,Denis Gopan; Evan Driscoll; Ducson Nguyen; Dimitri Naydich; Alexey Loginov; David Melski,145-155,11,https://doi.org/10.1109/ICSE.2015.36,
ICSE,2015,conf/icse/icse2015-1,Analysis I,Measuring Software Redundancy.,Antonio Carzaniga; Andrea Mattavelli; Mauro Pezzè,156-166,11,https://doi.org/10.1109/ICSE.2015.37,
ICSE,2015,conf/icse/icse2015-1,Analysis I,Gray Computing: An Analysis of Computing with Background JavaScript Tasks.,Yao Pan; Jules White; Yu Sun; Jeff Gray,167-177,11,https://doi.org/10.1109/ICSE.2015.38,
ICSE,2015,conf/icse/icse2015-1,Highly Configurable and Adaptive Systems,Presence-Condition Simplification in Highly Configurable Systems.,Alexander von Rhein; Alexander Grebhahn; Sven Apel; Norbert Siegmund; Dirk Beyer; Thorsten Berger,178-188,11,https://doi.org/10.1109/ICSE.2015.39,
ICSE,2015,conf/icse/icse2015-1,Highly Configurable and Adaptive Systems,Symbolic Model Checking of Product-Line Requirements Using SAT-Based Methods.,Shoham Ben-David; Baruch Sterin; Joanne M. Atlee; Sandy Beidu,189-199,11,https://doi.org/10.1109/ICSE.2015.40,
ICSE,2015,conf/icse/icse2015-1,Highly Configurable and Adaptive Systems,Lightweight Adaptive Filtering for Efficient Learning and Updating of Probabilistic Models.,Antonio Filieri; Lars Grunske; Alberto Leva,200-211,12,https://doi.org/10.1109/ICSE.2015.41,
ICSE,2015,conf/icse/icse2015-1,Tools and Environments,Tempura: Temporal Dimension for IDEs.,Yun Young Lee; Darko Marinov; Ralph E. Johnson,212-222,11,https://doi.org/10.1109/ICSE.2015.42,
ICSE,2015,conf/icse/icse2015-1,Tools and Environments,Supporting Selective Undo in a Code Editor.,YoungSeok Yoon; Brad A. Myers,223-233,11,https://doi.org/10.1109/ICSE.2015.43,
ICSE,2015,conf/icse/icse2015-1,Tools and Environments,Cascade: A Universal Programmer-Assisted Type Qualifier Inference Tool.,Mohsen Vakilian; Amarin Phaosawasdi; Michael D. Ernst; Ralph E. Johnson,234-245,12,https://doi.org/10.1109/ICSE.2015.44,
ICSE,2015,conf/icse/icse2015-1,Regression Testing,RECONTEST: Effective Regression Testing of Concurrent Programs.,Valerio Terragni; Shing-Chi Cheung; Charles Zhang,246-256,11,https://doi.org/10.1109/ICSE.2015.45,
